name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude
Học viện Báo chí và Tuyên truyền,Học viện Báo chí và Tuyên truyền,Q10771877,1962,Hà Nội,Hà Nội,Hà Nội,,Phạm Minh Sơn,Giám đốc,,,,21.0378,105.788
Học viện Hải quân,Học viện Hải quân,Q7928533,2022,"chính: 30, đường Trần Phú, phường Nha Trang",,Khánh Hòa,,,,Bộ Quốc phòng,,,12.2151,109.207
Trường Đại học An Giang,"Trường Đại học An Giang, Đại học Quốc gia Thành phố Hồ Chí Minh",Q4750013,1976,"18 Ung Văn Khiêm, phường Long Xuyên",,An Giang,Đại học Quốc gia Thành phố Hồ Chí Minh,Võ Văn Thắng,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,490,,10.3718,105.431
Trường Đại học Đà Lạt,Trường Đại học Đà Lạt,Q3177493,1975,"Số 1, Phù Đổng Thiên Vương",Đà Lạt,Lâm Đồng,,Lê Minh Chiến,Hiệu trưởng,,,,11.95563889,108.44285833
Trường Đại học Hải Phòng,Trường Đại học Hải Phòng,Q5638944,1959,Hải Phòng,Hải Phòng,Hải Phòng,,Bùi Xuân Hải,Hiệu trưởng,UBND Thành phố Hải Phòng,749,,20.8398,106.688
