name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,academicStaffSize,numberOfStudents,latitude,longitude
Học viện Báo chí và Tuyên truyền,Học viện Báo chí và Tuyên truyền,Q10771877,1962,,Hà Nội,Hà Nội,,Phạm Minh Sơn,Giám đốc,,,21.0378,105.788
Học viện Hải quân,Học viện Hải quân,Q7928533,2022,,,,,,,,,12.2151,109.207
Trường Đại học An Giang,"Trường Đại học An Giang, Đại học Quốc gia Thành phố Hồ Chí Minh",Q4750013,1976,"18 Ung Văn Khiêm, phường Long Xuyên",,An Giang,Đại học Quốc gia Thành phố Hồ Chí Minh,Võ Văn Thắng,Hiệu trưởng,490,,10.3718,105.431
