name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude,coord_level
Học viện Quân chính,Học viện Quân chính,Q10771898,1961,Việt Nam,,,,,,Bộ Quốc phòng,,,16.047079,108.206230,Approximate
Trường Sĩ quan Không quân,Trường Sĩ quan Không quân,Q10828884,1959,Việt Nam,Nha Trang,Khánh Hòa,,,,Bộ Quốc phòng,,,12.238800,109.196700,Approximate
Trường Sĩ quan Pháo binh,Trường Sĩ quan Pháo binh,Q10828880,1957,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Quốc phòng,,2000,21.027800,105.834200,Approximate
Trường Sĩ quan Phòng hóa,Trường Sĩ quan Phòng hóa,Q10828881,1976,Việt Nam,,,,,,Bộ Quốc phòng,,9921,16.047079,108.206230,Approximate
Trường Sĩ quan Tăng – Thiết giáp,Trường Sĩ quan Tăng – Thiết giáp,Q10828883,1965,Việt Nam,,Vĩnh Phúc,,,,Bộ Tư lệnh Tăng - Thiết giáp của Bộ Quốc phòng,,,21.360900,105.547400,Approximate
Trường Sĩ quan Thông tin – Đại học Thông tin Liên lạc,Trường Sĩ quan Thông tin – Đại học Thông tin Liên lạc,Q16480503,1951,Việt Nam,,,,,,Bộ Quốc phòng,,,16.047079,108.206230,Approximate
Trường Đại học Trần Đại Nghĩa,Trường Đại học Trần Đại Nghĩa,Q10829151,1975,Việt Nam,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Quốc phòng Việt,,,10.823100,106.629700,Approximate
Trường Đại học Văn hóa – Nghệ thuật Quân đội,Trường Đại học Văn hóa – Nghệ thuật Quân đội,Q10829163,1955,Việt Nam,Hà Nội,Hà Nội,,,,Quân đội Nhân dân Việt Nam,,,21.017478,105.807343,Exact
Học viện Chính trị,Học viện Chính trị,Q16480519,1951,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Quốc phòng,,,21.027800,105.834200,Approximate
Học viện Hậu cần,Học viện Hậu cần,Q10771887,1951,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Quốc phòng,,,21.066199,105.875809,Exact
Học viện Khoa học Quân sự,Học viện Khoa học Quân sự,Q10771888,1957,Việt Nam,,,,,,Bộ Quốc phòng,28,18307,16.047079,108.206230,Approximate
Học viện Kỹ thuật Mật mã,Học viện Kỹ thuật Mật mã,Q10771890,1995,Việt Nam,,,,,,Ban Cơ yếu Chính phủ,,,21.022816,105.801944,Exact
Trường Sĩ quan Lục quân 1 – Đại học Trần Quốc Tuấn,Trường Sĩ quan Lục quân 1 – Đại học Trần Quốc Tuấn,Q10829150,1945,Việt Nam,,,,,,Bộ Quốc phòng,,,16.047079,108.206230,Approximate
Trường Sĩ quan Lục quân 2 – Đại học Nguyễn Huệ,Trường Sĩ quan Lục quân 2 – Đại học Nguyễn Huệ,Q10829101,1961,Việt Nam,,,,,,Bộ Quốc phòng,,,16.047079,108.206230,Approximate
Trường Đại học Tài chính - Kế toán,Trường Đại học Tài chính - Kế toán,Q118446437,1963,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Tài chính,,,21.027800,105.834200,Approximate
Trường Đại học Tài chính – Kế toán,Trường Đại học Tài chính – Kế toán,Q18460961,1264,"Thị trấn La Hà, huyện Tư Nghĩa | 286 Phạm Văn Đồng, phường Phú Thượng, quận Thuận Hóa",Huế,Quảng Ngãi,,Phạm Sỹ Hùng,Hiệu trưởng,Bộ Tài chính,,,16.463700 | 16.463700,107.590900 | 107.590900,Approximate | Approximate
Trường Đại học Tài chính – Marketing,Trường Đại học Tài chính – Marketing,Q10829152,1976,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Phạm Tiến Đạt,Hiệu trưởng,Bộ Tài chính,,,10.823100,106.629700,Approximate
Trường Đại học Tài chính – Quản trị kinh doanh,Trường Đại học Tài chính – Quản trị kinh doanh,Q61130366,1965,"xã Trưng Trắc, huyện Văn Lâm | xã Như Quỳnh, huyện Văn Lâm",,Hưng Yên,,Nguyễn Trọng Nghĩa,Hiệu trưởng,Bộ Tài chính,,,20.646400 | 20.646400,106.051100 | 106.051100,Approximate | Approximate
Học viện Tài chính,Học viện Tài chính,Q10771904,2001,Hà Nội,Hà Nội,Hà Nội,,"Phó Giáo sư, Tiến sĩ, Nhà giáo ưu tú Nguyễn Đào Tùng",Giám đốc,Bộ Tài chính,750,20000,21.027800,105.834200,Approximate
Trường Đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh,Trường Đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh,Q10829153,1976,"236B Lê Văn Sỹ, phường 1, quận Tân Bình",Hồ Chí Minh,Hồ Chí Minh,,Huỳnh Quyền,Hiệu trưởng,Bộ Tài nguyên và Môi trường,240,,10.796432,106.664608,Exact
Trường Đại học Tài nguyên và Môi trường Hà Nội,Trường Đại học Tài nguyên và Môi trường Hà Nội,Q18461615,1955,Hà Nội,Hà Nội,Hà Nội,,Huỳnh Thị Lan Hương,Hiệu trưởng,Bộ Giáo dục và Đào tạo,551,,21.046333,105.762444,Exact
Phân hiệu Trường Đại học Tài nguyên và Môi trường Hà Nội tại Thanh Hóa,Phân hiệu Trường Đại học Tài nguyên và Môi trường Hà Nội tại Thanh Hóa,Q97964293,1968,"Số 04 - Trần Phú, phường Ba Đình, thị xã Bỉm Sơn",,Thanh Hóa,,Hoàng Anh Huy,Giám đốc,Bộ Tài nguyên và Môi trường và,,,19.806700,105.785200,Approximate
Học viện Công nghệ Bưu chính Viễn thông,Học viện Công nghệ Bưu chính Viễn thông,Q10771881,1953,Hà Nội,Hà Nội,Hà Nội,,Đặng Hoài Bắc,Giám đốc,Bộ Khoa học và Công nghệ,900,29000,20.981000,105.787080,Exact
Trường Cao đẳng Phát thanh - Truyền hình I,Trường Cao đẳng Phát thanh - Truyền hình I,Q10828802,1957,Phủ Lý,,Hà Nam,,Nguyễn Văn Hùng,Hiệu trưởng,Bộ Văn hóa – Thông tin,,,20.583500,105.922900,Approximate
Trường Cao đẳng Phát thanh - Truyền hình II,Trường Cao đẳng Phát thanh - Truyền hình II,Q10828803,1296,Phủ Lý,,Hà Nam,,Nguyễn Văn Hùng,Hiệu trưởng,,,,20.583500,105.922900,Approximate
Trường Đại học Luật Hà Nội,Trường Đại học Luật Hà Nội,Q10829088,1727,"87 Đường Nguyễn Chí Thanh, phường Giảng Võ | Đường Hoàng Quốc Việt, phường Đồng Nguyên",Hà Nội,Hà Nội,,,,Bộ Tư pháp,,23392,21.027800 | 21.027800,105.834200 | 105.834200,Approximate | Approximate
Học viện Dân tộc,Học viện Dân tộc,Q65164557,2016,"Thôn Chi Đông 2, xã Quang Minh",Hà Nội,Hà Nội,,,,Bộ Dân tộc và Tôn giáo,,,21.027800,105.834200,Approximate
