name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude,coord_level
Trường Đại học Giáo dục,"Trường Đại học Giáo dục, Đại học Quốc gia Hà Nội",Q10829046,1481,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Nguyễn Quý Thanh,Hiệu trưởng,Đại học Quốc gia Hà Nội,118,,21.027800,105.834200,Approximate
Trường Trung học phổ thông Khoa học Giáo dục,"Trường Trung học phổ thông Khoa học Giáo dục, Đại học Quốc gia Hà Nội",Q86012392,2016,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Phạm Đức Hiệp,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,21.027800,105.834200,Approximate
Trường Quản trị và Kinh doanh,"Trường Quản trị và Kinh doanh, Đại học Quốc gia Hà Nội",Q10779338,1995,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Hoàng Đình Phi,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,21.027800,105.834200,Approximate
Trường Đại học Ngoại ngữ,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội",Q7895616,1955,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,,,Đại học Quốc gia Hà Nội,522,,21.039333,105.781678,Exact
Khoa Quốc tế Pháp ngữ,"Khoa Quốc tế Pháp ngữ, Đại học Quốc gia Hà Nội",Q2496369,1995,Hanoi,Hà Nội,Hà Nội,,,,Bộ Giáo dục và Đào tạo,,,21.003122,105.847718,Exact
Trường Đại học Hà Tĩnh,Trường Đại học Hà Tĩnh,Q10829051,1958,Xã Cẩm Bình,,Hà Tĩnh,,Đoàn Hoài SơnQuyền,Hiệu trưởng,Bộ Giáo dục và Đào tạo,90,,18.355900,105.887700,Approximate
Trường Khoa học liên ngành và Nghệ thuật,"Trường Khoa học liên ngành và Nghệ thuật, Đại học Quốc gia Hà Nội",,2002,Hà Nội 100000,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Nguyễn Văn Hiệu,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,21.038431,105.781252,Exact
Trường Quốc tế,"Trường Quốc tế, Đại học Quốc gia Hà Nội",Q24902367,2002,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Lê Trung Thành,Hiệu trưởng,Đại học Quốc gia Hà Nội,,4000,21.027800,105.834200,Approximate
Trường Đại học Khoa học Tự nhiên,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội",Q5649339,1993,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Lê Thanh Sơn,Hiệu trưởng,Đại học Quốc gia Hà Nội,430,,20.995900,105.808000,Exact
Viện Công nghệ Thông tin,"Viện Công nghệ Thông tin, Đại học Quốc gia Hà Nội",,1997,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội theo quyết định số 14/2001/QĐ-TTg ngày 12/02/2001 của Thủ tướng Chính phủ,,,Đại học Quốc gia Hà Nội,,,21.027800,105.834200,Approximate
Viện Vi sinh vật và Công nghệ sinh học,"Viện Vi sinh vật và Công nghệ sinh học, Đại học Quốc gia Hà Nội",,2007,Hà Nội,Hà Nội,Hà Nội,,,,Đại học Quốc gia Hà Nội,,,21.027800,105.834200,Approximate
Viện Việt Nam học và Khoa học phát triển,"Viện Việt Nam học và Khoa học phát triển, Đại học Quốc gia Hà Nội",,2004,Hà Nội,Hà Nội,Hà Nội,,Phạm Đức Anh,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,21.027800,105.834200,Approximate
Trường Đại học Việt Nhật,"Trường Đại học Việt Nhật, Đại học Quốc gia Hà Nội",Q20026262,1186,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Furuta Motoo,Hiệu trưởng,Đại học Quốc gia Hà Nội,,,21.032917,105.762500,Exact
Trường Đại học Y Dược,"Trường Đại học Y Dược, Đại học Quốc gia Hà Nội",Q105335883,2010,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,TTND. Lê Ngọc Thành,Hiệu trưởng,Đại học Quốc gia Hà Nội,260,3204,21.040318,105.781464,Exact
Trường Trung học phổ thông chuyên Ngoại ngữ,"Trường Trung học phổ thông chuyên Ngoại ngữ, Đại học Quốc gia Hà Nội",Q5468284,1969,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,,,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Tổng hợp Hà Nội,Trường Đại học Tổng hợp Hà Nội,Q10829159,1951,Hà Nội,Hà Nội,Hà Nội,,đầu tiên của trường là ông Ngụy Như Kon Tum,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,1964,21.027800,105.834200,Approximate
Trường Đại học Luật,"Trường Đại học Luật, Đại học Quốc gia Hà Nội",Q114132145,1976,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,,,Đại học Quốc gia Hà Nội,,,21.040301,105.781566,Exact
Đại học Quốc gia Thành phố Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Q943759,1995,Phường Linh Xuân và phường Đông Hòa,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Thị Thanh Mai,Giám đốc,Đại học Quốc gia Thành phố Hồ Chí Minh,,,10.868562,106.796312,Exact
Trường Đại học Công nghệ Thông tin,"Trường Đại học Công nghệ Thông tin, Đại học Quốc gia Thành phố Hồ Chí Minh",Q5873994,2006,"Khu phố 34, Phường Linh Xuân",Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Nguyễn Hoàng Tú Anh,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,,500,10.869892,106.803663,Exact
Ký túc xá Đại học Quốc gia Thành phố Hồ Chí Minh,Ký túc xá Đại học Quốc gia Thành phố Hồ Chí Minh,Q30920248,2000,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,Đại học Quốc gia Thành phố Hồ Chí Minh,,40000,10.823100,106.629700,Approximate
Trường Đại học Khoa học Xã hội và Nhân văn,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",Q5873999,1957,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Ngô Thị Phương Lan [https,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,1000,,10.787807,106.703839,Exact
Trường Đại học Kinh tế – Luật,"Trường Đại học Kinh tế – Luật, Đại học Quốc gia Thành phố Hồ Chí Minh",Q10829073,2000,"669 Đỗ Mười, Khu phố 3, Phường Linh Xuân",Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Hoàng Công Gia Khánh,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,,,10.823100,106.629700,Approximate
Trường Phổ thông Năng khiếu,"Trường Phổ thông Năng khiếu, Đại học Quốc gia Thành phố Hồ Chí Minh",Q10828873,1993,"Đường William Shakespears, Phường Đông Hòa | 153 Nguyễn Chí Thanh, Phường An Đông",Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Bùi Thị Hồng Hạnh,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh và,,,10.759278 | 10.823100,106.666222 | 106.629700,Exact | Approximate
Trường Đại học Quốc tế,"Trường Đại học Quốc tế, Đại học Quốc gia Thành phố Hồ Chí Minh",Q5873959,2003,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Lê Văn Thăng,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,,,10.877700,106.802000,Exact
Trường Đại học Tổng hợp Thành phố Hồ Chí Minh,Trường Đại học Tổng hợp Thành phố Hồ Chí Minh,Q61130363,,Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Giáo dục và Đào tạo,,700,10.823100,106.629700,Approximate
Trường Đại học Bách khoa,"Trường Đại học Bách khoa, Đại học Quốc gia Thành phố Hồ Chí Minh",Q3101701,1957,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Mai Thanh Phong,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,,,10.773267,106.659466,Exact
Trường Đại học Khoa học Sức khỏe,"Trường Đại học Khoa học Sức khỏe, Đại học Quốc gia Thành phố Hồ Chí Minh",Q61131917,2009,"Đường Hải Thượng Lãn Ông, khu đô thị Đại học Quốc gia Thành phố Hồ Chí Minh, phường Đông Hòa",Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Phan Bách Thắng,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,226,1500,10.887985,106.798159,Exact
Trường Đại học Khoa học Tự nhiên,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Thành phố Hồ Chí Minh",Q5873997,1941,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,Đại học Quốc gia Thành phố Hồ Chí Minh,Trần Lê Quan,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,565,17977,10.762778,106.681389,Exact
Trường Đại học Kiểm sát,Trường Đại học Kiểm sát,Q18415683,1964,"Phố Ỷ La, phường Dương Nội, quận Hà Đông",Hà Nội,Hà Nội,,KSVCC. Nguyễn Văn Khoát,Hiệu trưởng,Viện kiểm sát nhân dân tối cao,,1500,21.027800,105.834200,Approximate
Học viện Tòa án,Học viện Tòa án,Q24956933,1960,"đường Dương Đức Hiền, xã Thuận An",Hà Nội,Hà Nội,,PGS-TS Nguyễn Đức Hạnh,Giám đốc,Tòa án nhân dân tối cao,,,21.027800,105.834200,Approximate
Trường Đại học FPT,Trường Đại học FPT,Q610220,2006,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Khắc Thành,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,150,21.013667,105.527278,Exact
Trường Đại học Công nghệ Thành phố Hồ Chí Minh,Trường Đại học Công nghệ Thành phố Hồ Chí Minh,Q10829029,1995,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,GS.TSKH Hồ Đắc Lộc,Chủ tịch,Bộ Giáo dục và Đào tạo,2016,,10.823100,106.629700,Approximate
Trường Đại học Kinh tế – Tài chính Thành phố Hồ Chí Minh,Trường Đại học Kinh tế – Tài chính Thành phố Hồ Chí Minh,Q10829074,1272,TPHCM,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Thanh Giang,Hiệu trưởng,Bộ Tài chính,,,10.823100,106.629700,Approximate
Trường Đại học Bà Rịa – Vũng Tàu,Trường Đại học Bà Rịa – Vũng Tàu,Q10829018,2006,"80 Trương Công Định, phường Vũng Tàu",Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Bá Hoàng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.823100,106.629700,Approximate
Trường Đại học Gia Định,Trường Đại học Gia Định,Q115179095,1713,Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Thái Bá Cần,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.823100,106.629700,Approximate
Trường Đại học Hoa Sen,Trường Đại học Hoa Sen,Q1002930,1991,Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Hữu Huy Nhựt,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.770454,106.692519,Exact
Trường Đại học Quốc tế Hồng Bàng,Trường Đại học Quốc tế Hồng Bàng,Q661322,1997,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,BS Phạm Văn Lình,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.823100,106.629700,Approximate
Trường Đại học VinUni,Trường Đại học VinUni,Q86012411,2019,Hà Nội,Hà Nội,Hà Nội,,David Bangsberg,Chủ tịch,Bộ Giáo dục và Đào tạo,35,300,20.989251,105.943573,Exact
Học viện Phật giáo Việt Nam,Học viện Phật giáo Việt Nam,Q109434106,1981,Hà Nội,Hà Nội,Hà Nội,,Hòa thượng Thích Thanh Quyết,Hiệu trưởng,Giáo hội Phật giáo Việt Nam,,,21.027800,105.834200,Approximate
Trường d'Adran Đà Lạt,Trường d'Adran Đà Lạt,Q10828996,,Đà Lạt,Đà Lạt,Lâm Đồng,,,,UBND Tỉnh Lâm Đồng,,,11.940400,108.458300,Approximate
Giáo hoàng Học viện Thánh Piô X Đà Lạt,Giáo hoàng Học viện Thánh Piô X Đà Lạt,Q10761706,1958,Đà Lạt,Đà Lạt,Lâm Đồng,,,,UBND Tỉnh Lâm Đồng,,,11.940400,108.458300,Approximate
Học viện Công giáo Việt Nam,Học viện Công giáo Việt Nam,Q24957210,2015,Việt Nam,,,,,,Hội đồng Giám mục Việt Nam,,,16.047079,108.206230,Approximate
Trường Cao đẳng Hòa Bình Xuân Lộc,Trường Cao đẳng Hòa Bình Xuân Lộc,Q49054761,2017,"Ấp Lộ Đức, xã Hố Nai 3, huyện Trảng Bom",,Đồng Nai,,Giuse Hà Đăng Định,Hiệu trưởng,UBND Tỉnh Hòa Bình,,,10.944700,106.824300,Approximate
Trường d'Adran Sài Gòn,Trường d'Adran Sài Gòn,Q10828995,1861,Việt Nam,Mỹ Tho,Vĩnh Long,,,,,,,10.360000,106.359700,Approximate
Trường trung học La San Taberd,Trường trung học La San Taberd,Q10828923,1873,Sài Gòn,,,,Felicien Huỳnh Công Lương,Hiệu trưởng,,,,16.047079,108.206230,Approximate
Trường Trung học Tư thục Chính Tâm,Trường Trung học Tư thục Chính Tâm,Q10828931,1956,Việt Nam,,Bình Thuận,,,,,,,11.090400,108.072100,Approximate
Viện Đại học Minh Đức,Viện Đại học Minh Đức,Q10832799,,Việt Nam,,,,,,Bộ Giáo dục và Đào tạo,,,16.047079,108.206230,Approximate
Học viện Chính trị Quốc gia Hồ Chí Minh,Học viện Chính trị Quốc gia Hồ Chí Minh,Q10771879,1949,Hà Nội,Hà Nội,Hà Nội,,Đoàn Minh Huấn,Giám đốc,Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam,,,21.027800,105.834200,Approximate
Nguyễn Trường Thắng,Nguyễn Trường Thắng,Q120764077,,Việt Nam,,,,,,,,,16.047079,108.206230,Approximate
Trường Chinh,Trường Chinh,Q545539,,Việt Nam,,,,Hội đồng Nhà nước Cộng hòa xã hội chủ nghĩa Việt Nam,Chủ tịch,,,,16.047079,108.206230,Approximate
Học viện Thanh thiếu niên Việt Nam,Học viện Thanh thiếu niên Việt Nam,Q97166894,1995,Việt Nam,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Hải Đăng,Giám đốc,Trung ương Đoàn Thanh niên Cộng sản Hồ Chí Minh,,,10.823100,106.629700,Approximate
Trường Đại học Công đoàn,Trường Đại học Công đoàn,Q16480704,1946,Hà Nội,Hà Nội,Hà Nội,,Lê Mạnh Hùng,Hiệu trưởng,Tổng Liên đoàn Lao động Việt Nam,,12000,21.027800,105.834200,Approximate
Đại học Duy Tân,Đại học Duy Tân,Q5317667,1994,Đà Nẵng,Đà Nẵng,Đà Nẵng,,Lê Nguyên Bảo,Giám đốc,Bộ Giáo dục và Đào tạo,1238,,16.060100,108.210000,Exact
Học viện Quân y,Học viện Quân y,Q10771896,1949,Việt Nam,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Quốc phòng,,,20.966829,105.788437,Exact
Bệnh viện Quân y 103,Bệnh viện Quân y 103,Q10832774,,Việt Nam,,,,,,Bộ Quốc phòng,,2000,16.047079,108.206230,Approximate
Bệnh viện Đại học Y Dược – Hoàng Anh Gia Lai,Bệnh viện Đại học Y Dược – Hoàng Anh Gia Lai,Q109439363,1222,Gia Lai,,Gia Lai,,,,Bộ Giáo dục và Đào tạo,,500,13.971143,108.029562,Exact
Bệnh viện Đại học Y Dược,"Bệnh viện Đại học Y Dược, Thành phố Hồ Chí Minh",Q43896606,2000,Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Giáo dục và Đào tạo,,,10.755240,106.664471,Exact
Trường Đại học Y Dược Hà Nội,Trường Đại học Y Dược Hà Nội,,1902,Hà Nội,Hà Nội,Hà Nội,,,,Bộ Y tế gồm,,,21.027800,105.834200,Approximate
Học viện Kỹ thuật Quân sự,Học viện Kỹ thuật Quân sự,Q4130078,1966,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Quốc phòng,,,21.048300,105.786000,Exact
Trường Cao đẳng Kinh tế – Kỹ thuật Bạc Liêu,Trường Cao đẳng Kinh tế – Kỹ thuật Bạc Liêu,Q115493900,1451,"Số 01, đường Nguyễn Thị Đương, khóm 1, phường 1",Bạc Liêu,Bạc Liêu,,NGƯT TS. Trần Công Chánh,Hiệu trưởng,UBND Tỉnh Bạc Liêu,,,9.295833,105.736389,Exact
Trường Đại học Bạc Liêu,Trường Đại học Bạc Liêu,Q10829021,1558,"178 Võ Thị Sáu, phường Bạc Liêu",,Bạc Liêu,,Từ Diệp Công Thành,Hiệu trưởng,Ủy ban Nhân dân tỉnh Cà Mau giữ vai trò,215,3500,9.294100,105.721600,Approximate
Trường Đại học Kỹ thuật – Công nghệ Cần Thơ,Trường Đại học Kỹ thuật – Công nghệ Cần Thơ,Q10828441,2013,"256 Nguyễn Văn Cừ, phường Cái Khế",Cần Thơ,Cần Thơ,,NGND. PGS. Ts. Huỳnh Thanh Nhã,Hiệu trưởng,Ủy ban Nhân dân Thành phố Cần Thơ,185,,10.045200,105.746900,Approximate
Trường Cao đẳng Văn hóa Nghệ thuật Cần Thơ,Trường Cao đẳng Văn hóa Nghệ thuật Cần Thơ,Q61129566,2017,"188/35A Nguyễn Văn Cừ, phường Cái Khế",Cần Thơ,Cần Thơ,,Nguyễn Thị Hương,Hiệu trưởng,Bộ Văn hóa,37,,10.045200,105.746900,Approximate
Trường Đại học Quảng Nam,Trường Đại học Quảng Nam,Q10829117,1997,Số 102-Hùng Vương-Tp.Tam Kỳ-Tỉnh Quảng Nam,Tam Kỳ,Quảng Nam,,Huỳnh Trọng Dương,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,15.573600,108.474000,Approximate
Trường Đại học Phú Yên,Trường Đại học Phú Yên,Q10829111,2007,phường Tuy Hòa,Tuy Hòa,Phú Yên,,Trần Lăng,Hiệu trưởng,UBND tỉnh Đắk Lắk và chịu sự quản lý nhà nước về đào tạo của Bộ Giáo dục và Đào tạo,172,10000,13.103097,109.309404,Exact
Trường Đại học Đồng Nai,Trường Đại học Đồng Nai,Q24884974,1976,"Khu phố 3, Phường Tân Hiệp",Biên Hòa,Đồng Nai,,,,UBND tỉnh Đồng Nai và được giám sát về đào tạo bởi Bộ Giáo dục và Đào tạo,,,10.959500,106.861500,Exact
Trường Đại học Tiền Giang,Trường Đại học Tiền Giang,Q10829147,1971,"Ấp Thân Bình, xã Châu Thành",,Đồng Tháp,,PGS-TS Võ Ngọc Hà,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.365556,106.357944,Exact
Trường Cao đẳng Y tế Đồng Tháp,Trường Cao đẳng Y tế Đồng Tháp,Q10828820,1407,"số 312, Nguyễn Thái Học, phường Cao Lãnh",,Đồng Tháp,,BSCKII. Nguyễn Tấn Hưng,Hiệu trưởng,Bộ Y tế,,51,10.493800,105.688200,Approximate
Trường Cao đẳng Điện tử – Điện lạnh Hà Nội,Trường Cao đẳng Điện tử – Điện lạnh Hà Nội,Q10828830,1965,Hà Nội,Hà Nội,Hà Nội,,Phạm Tiến Dũng,Hiệu trưởng,UBND Thành phố Hà Nội,,,21.027800,105.834200,Approximate
Trường Đại học Thủ đô Hà Nội,Trường Đại học Thủ đô Hà Nội,Q97164619,1959,Hà Nội,Hà Nội,Hà Nội,,Đỗ Hồng Cường,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,150,21.027800,105.834200,Approximate
Trường Cao đẳng Y tế Hà Đông,Trường Cao đẳng Y tế Hà Đông,,1960,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Đăng Trường,Hiệu trưởng,Ủy ban nhân dân thành phố Hà Nội,,,21.027800,105.834200,Approximate
Trường Cao đẳng Y tế Hà Nội,Trường Cao đẳng Y tế Hà Nội,Q10828817,1769,Hà Nội,Hà Nội,Hà Nội,,Phạm Văn Tân,Hiệu trưởng,Ủy ban nhân dân thành phố Hà Nội,,5000,21.027800,105.834200,Approximate
Trường Cao đẳng Huế,Trường Cao đẳng Huế,Q24957698,1978,"365 Điện Biên Phủ, phường Thuận Hóa",,Điện Biên,,Hoàng Bảo Hùng,Hiệu trưởng,Ủy ban nhân dân tỉnh Thừa Thiên Huế,,,21.386000,103.023000,Approximate
Trường Trung học Giao thông vận tải Huế,Trường Trung học Giao thông vận tải Huế,Q18460936,1990,365 Điện Biên Phủ,Huế,Điện Biên,,Nguyễn Đăng Thông,Hiệu trưởng,Bộ Giao thông Vận tải,,,16.463700,107.590900,Approximate
Trường Đại học Thái Bình,Trường Đại học Thái Bình,Q10829138,1555,Phường Thái Bình Thái Bình,,Thái Bình,,Phạm Quốc Thành,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,20.446300,106.336600,Approximate
Trường Cao đẳng Văn hóa Nghệ thuật Thái Bình,Trường Cao đẳng Văn hóa Nghệ thuật Thái Bình,Q10828814,1975,"Địa chỉ: Số 12 Hoàng Công Chất, phường Quang Trung TP.Thái Bình",,Thái Bình,,Bùi Thị Dung,Hiệu trưởng,Bộ Văn hóa,,523,20.446300,106.336600,Approximate
Trường Đại học Khánh Hòa,Trường Đại học Khánh Hòa,Q10828807,2015,"01 Nguyễn Chánh, phường Nha Trang",Nha Trang,Khánh Hòa,,Phan Phiến,Hiệu trưởng,ủy ban nhân dân Tỉnh Khánh Hòa,192,,12.238800,109.196700,Approximate
Trường Cao đẳng Y tế Lâm Đồng,Trường Cao đẳng Y tế Lâm Đồng,Q30920777,1977,"16 Ngô Quyền, phường Cam Ly – Đà Lạt",Đà Lạt,Lâm Đồng,,BS. Lý Duy Hưng,Hiệu trưởng,Bộ Y tế,,,11.940400,108.458300,Approximate
Trường Cao đẳng Kỹ thuật Công nghiệp Việt Nam-Hàn Quốc,Trường Cao đẳng Kỹ thuật Công nghiệp Việt Nam-Hàn Quốc,Q61128204,,"Đường Hồ Tông Thốc, phường Nghi Phú",Vinh,Nghệ An,,,,Bộ Công Thương,,3000,18.679600,105.681300,Approximate
Trường Đại học Nghệ An,Trường Đại học Nghệ An,Q16481176,,Nghệ An,,Nghệ An,,Nguyễn Ngọc Hiếu,Hiệu trưởng,Ủy ban nhân dân tỉnh Nghệ An,315,,19.234200,104.920000,Approximate
Trường Đại học Y khoa Vinh,Trường Đại học Y khoa Vinh,Q717262,2010,"Số 161 Đường Nguyễn Phong Sắc, Phường Trường Vinh",Vinh,Nghệ An,,Nguyễn Văn Tuấn,Hiệu trưởng,Bộ Giáo dục và Đào tạo,316,,18.686100,105.699000,Exact
Trường Đại học Hoa Lư,Trường Đại học Hoa Lư,Q10829047,2007,thành phố Hoa Lư,Hoa Lư,Ninh Bình,,Vũ Văn Trường,Hiệu trưởng,Ủy ban nhân dân tỉnh Ninh Bình và chịu sự quản lý nhà nước về giáo dục của Bộ Giáo dục và Đào tạo,300,5000,20.250600,105.974500,Approximate
Trường Cao đẳng Y tế Ninh Bình,Trường Cao đẳng Y tế Ninh Bình,Q10828818,1963,"297 Hải Thượng Lãn Ông, Phường Nam Thành",Hoa Lư,Ninh Bình,,Đỗ Văn Dung,Hiệu trưởng,Bộ Y tế,,,20.250600,105.974500,Approximate
Trường Đại học Hạ Long,Trường Đại học Hạ Long,Q65165392,1869,"258, Bạch Đằng, Uông Bí | 58, Nguyễn Văn Cừ, Hạ Long",,Quảng Ninh,,Nguyễn Đức Tiệp,Hiệu trưởng,Ủy ban Nhân dân tỉnh Quảng Ninh,,,21.006400 | 21.006400,107.292500 | 107.292500,Approximate | Approximate
Trường Đại học Quảng Bình,Trường Đại học Quảng Bình,Q2406422,1959,"312 Lý Thường Kiệt, phường Đồng Thuận",,Quảng Trị,,Hoàng Dương Hùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,17.485800,106.604000,Exact
Trường Đại học Hồng Đức,Trường Đại học Hồng Đức,Q10829017,1997,"Số 565 đường Quang Trung, phường Hạc Thành",,Thanh Hóa,,Lê Hoằng Bá Huyền,Hiệu trưởng,UBND tỉnh Thanh Hóa,900,9000,19.806700,105.785200,Approximate
Trường Cao đẳng Nông Lâm Thanh Hóa,Trường Cao đẳng Nông Lâm Thanh Hóa,,,"Km 16 Quốc lộ 47, xã Dân Quyền, huyện Triệu Sơn",,Thanh Hóa,,Lê Viết Báu,Hiệu trưởng,UBND Tỉnh Thanh Hóa,,,19.806700,105.785200,Approximate
Trường Đại học Văn hóa,"Trường Đại học Văn hóa, Thể thao và Du lịch Thanh Hóa",Q10829162,1967,"561 Quang Trung 3, phường Đông Vệ | 20 Nguyễn Du, phường Điện Biên",Thanh Hóa,Điện Biên,Thể thao và Du lịch Thanh Hóa,Lê Thanh Hà,Hiệu trưởng,UBND tỉnh Thanh Hóa và Bộ Văn hóa,,,21.386000 | 21.386000,103.023000 | 103.023000,Approximate | Approximate
Trường Cao đẳng Y tế Thanh Hóa,Trường Cao đẳng Y tế Thanh Hóa,Q10828819,2014,Thanh Hóa,,Thanh Hóa,,,,Bộ trưởng Bộ GD-ĐT Phạm Vũ Luận ký quyết định thành lập Phân hiệu ĐH Y Hà Nội tại Thanh Hóa,,,19.806700,105.785200,Approximate
Trường Cao đẳng Lý Tự Trọng Thành phố Hồ Chí Minh,Trường Cao đẳng Lý Tự Trọng Thành phố Hồ Chí Minh,Q24957780,1971,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Phạm Hữu Lộc,Hiệu trưởng,Ủy ban nhân dân Thành phố Hồ Chí Minh,,14000,10.823100,106.629700,Approximate
Trường Đại học Sài Gòn,Trường Đại học Sài Gòn,Q368923,1972,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Phạm Hoàng Quân,Hiệu trưởng,Ủy ban nhân dân Thành phố Hồ Chí Minh,,,10.823100,106.629700,Approximate
Trường Đại học Thủ Dầu Một,Trường Đại học Thủ Dầu Một,Q10829145,2009,"6 Trần Văn Ơn, phường Phú Lợi",Hồ Chí Minh,Hồ Chí Minh,,Đoàn Ngọc Xuân,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.823100,106.629700,Approximate
Trường Đại học Y khoa Phạm Ngọc Thạch,Trường Đại học Y khoa Phạm Ngọc Thạch,Q10829174,1332,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Dược sĩ Nguyễn Đăng Thoại,Hiệu trưởng,Bộ Giáo dục và Đào tạo,456,9000,10.773700,106.665000,Exact
Trường Cao đẳng Y tế Bình Dương,Trường Cao đẳng Y tế Bình Dương,Q18460918,1978,"529 Lê Hồng Phong, Phường Phú Lợi",Hồ Chí Minh,Hồ Chí Minh,,"BS. CKII Nguyễn Văn Tính, Phó phụ trách",Hiệu trưởng,Bộ Y tế,205,,10.823100,106.629700,Approximate
